"idx","m","a_columns","b_columns","s111","s111_prop","s22","s22_prop"
390,11,"1 2 5 14 22 9 24 31 34 39 3","18 19 16 6 7 26 12 11 10 8 6",162,0.981818181818182,49,0.890909090909091
792,12,"1 2 5 14 22 9 24 31 3 25 13 37","23 15 29 6 7 16 12 6 26 12 18 7",216,0.981818181818182,54,0.818181818181818
1599,13,"1 2 5 14 22 9 24 31 3 25 13 37 6","18 33 18 7 12 26 7 7 20 7 15 12 18",279,0.975524475524476,58,0.743589743589744
3104,14,"1 2 5 14 22 9 24 31 3 25 13 37 6 18","23 33 30 7 12 26 7 12 20 7 15 12 23 7",354,0.972527472527473,61,0.67032967032967
5763,15,"1 2 5 14 22 9 24 31 3 25 13 37 6 18 7","27 19 30 12 12 26 12 12 20 12 15 12 23 10 16",442,0.971428571428571,57,0.542857142857143
10067,16,"1 2 5 14 22 9 24 31 3 25 13 37 6 18 7 35","23 19 29 12 12 26 12 12 20 12 17 12 27 12 16 12",544,0.971428571428571,48,0.4
16541,17,"1 2 5 14 22 9 24 31 3 25 13 37 6 18 7 35 15","23 19 29 12 12 26 12 12 20 12 17 12 27 12 16 12 4",656,0.964705882352941,60,0.441176470588235
25387,18,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 16 34 6 38","18 33 30 12 12 18 12 7 26 7 18 7 10 4 10 4 4 10",786,0.963235294117647,81,0.529411764705882
36526,19,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 16 34 6 38 27","18 33 30 12 12 18 12 7 26 7 18 7 10 4 10 4 4 10 8",930,0.959752321981424,99,0.578947368421053
49289,20,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 16 34 6 38 27 8","18 33 30 12 12 18 12 7 26 7 18 7 10 4 10 4 4 10 11 4",1089,0.955263157894737,111,0.58421052631579
48963,21,"7 11 12 13 17 18 19 20 21 23 26 27 28 30 32 34 35 37 38 39 40","3 4 3 4 1 4 10 6 5 8 1 3 1 4 1 3 2 10 8 9 5",1267,0.952631578947368,114,0.542857142857143
35798,22,"7 11 12 13 17 18 19 20 21 23 26 27 28 29 30 32 34 35 37 38 39 40","3 4 3 4 1 4 10 6 5 8 1 3 1 2 4 1 3 2 10 8 9 5",1464,0.950649350649351,126,0.545454545454545
24493,23,"7 11 12 13 15 16 17 18 23 25 26 27 28 29 30 32 33 34 35 37 38 39 40","3 4 3 4 5 6 10 4 2 10 6 9 6 8 9 5 6 3 8 1 2 3 1",1682,0.949745906267645,138,0.545454545454545
15060,24,"3 6 7 8 10 12 13 16 17 18 19 20 23 27 28 30 32 33 34 35 36 37 39 40","1 21 2 24 22 1 4 2 5 4 2 5 11 2 1 9 11 9 5 4 1 4 9 1",1920,0.948616600790514,147,0.532608695652174
8874,25,"3 4 6 7 11 12 13 16 17 19 20 21 23 25 26 28 30 32 33 34 35 36 37 38 39","15 14 1 15 18 24 14 2 2 9 5 1 5 10 2 1 1 9 9 8 8 5 10 8 10",2181,0.948260869565217,138,0.46
